Clark Y                                         
 Alfa =   7.74413 Re =    35678.598 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   0.68777 -0.01132  0.11108
   0.69299 -0.01112  0.10944
   0.69821 -0.01093  0.10788
   0.70343 -0.01073  0.10599
   0.70864 -0.01054  0.10470
   0.71386 -0.01035  0.10266
   0.71909 -0.01016  0.10117
   0.72431 -0.00997  0.09921
   0.72953 -0.00979  0.09794
   0.73475 -0.00960  0.09573
   0.73998 -0.00942  0.09371
   0.74520 -0.00924  0.09196
   0.75043 -0.00905  0.08974
   0.75566 -0.00887  0.08783
   0.76089 -0.00869  0.08564
   0.76612 -0.00851  0.08365
   0.77136 -0.00834  0.08159
   0.77659 -0.00816  0.07927
   0.78183 -0.00798  0.07697
   0.78707 -0.00780  0.07493
   0.79231 -0.00763  0.07264
   0.79754 -0.00745  0.07028
   0.80278 -0.00727  0.06765
   0.80802 -0.00710  0.06536
   0.81326 -0.00692  0.06281
   0.81850 -0.00674  0.06067
   0.82373 -0.00656  0.05767
   0.82897 -0.00639  0.05542
   0.83420 -0.00621  0.05284
   0.83943 -0.00603  0.04976
   0.84466 -0.00585  0.04756
   0.84989 -0.00567  0.04446
   0.85511 -0.00548  0.04205
   0.86034 -0.00530  0.03914
   0.86556 -0.00512  0.03646
   0.87078 -0.00493  0.03350
   0.87599 -0.00475  0.03027
   0.88121 -0.00456  0.02741
   0.88642 -0.00437  0.02476
   0.89163 -0.00418  0.02194
   0.89683 -0.00398  0.01800
   0.90203 -0.00379  0.01565
   0.90723 -0.00360  0.01201
   0.91241 -0.00340  0.00878
   0.91759 -0.00320  0.00523
   0.92275 -0.00301  0.00216
   0.92790 -0.00281 -0.00156
   0.93302 -0.00261 -0.00534
   0.93812 -0.00241 -0.00900
   0.94317 -0.00221 -0.01243
   0.94817 -0.00202 -0.01735
   0.95310 -0.00182 -0.02107
   0.95796 -0.00163 -0.02542
   0.96272 -0.00144 -0.02989
   0.96738 -0.00126 -0.03349
   0.97191 -0.00108 -0.03934
   0.97627 -0.00091 -0.04336
   0.98043 -0.00075 -0.04899
   0.98439 -0.00060 -0.05321
   0.98811 -0.00045 -0.05743
   0.99162 -0.00032 -0.06172
   0.99492 -0.00019 -0.06324
   0.99803 -0.00007 -0.06488
   1.00000  0.00000 -0.04917
